Close (BNB),Volume (BNB),Close (BTC),Volume (BTC),Close (USDT),Volume (USDT),Close (ETH),Volume (ETH)
1.99077,19192200,7143.580078,3226249984,1.00818,358188000,320.884003,893249984
1.79684,11155000,6618.140137,5208249856,1.00601,756446016,299.252991,885985984
1.67047,8178150,6357.600098,4908680192,1.00899,746227968,314.681,842300992
1.51969,15298700,5950.069824,8957349888,1.01247,1466060032,307.90799,1613479936
1.68662,12238800,6559.490234,6263249920,1.00935,767884032,316.716003,1041889984
1.59258,7829600,6635.75,3197110016,1.00683,429857984,337.631012,1069680000
1.53045,7615500,7315.540039,4200880128,1.00318,449671008,333.356995,722665984
1.57792,8928640,7871.689941,5123809792,1.00212,650278976,330.924011,797254016
1.51036,8508840,7708.990234,4651670016,1.00139,639398016,332.394012,621732992
1.67433,32167300,7790.149902,3667190016,1.00231,588136000,347.612,649638976
1.61377,38081700,8036.490234,3149319936,1.00244,485752992,354.385986,1181529984
1.62445,12994500,8200.639648,3488450048,1.00192,449595008,366.730011,807027008
1.57406,5440790,8071.259766,4277609984,0.996047,622649024,360.401001,949912000
1.61175,7177000,8253.549805,3633530112,1.00015,499812000,380.652008,800819008
1.5487,8392640,8038.77002,4225179904,0.994631,735883008,410.165985,1845680000
1.71771,12155400,8253.69043,5058610176,1.00233,848627968,474.911011,2292829952
1.87387,12839900,8790.919922,4342060032,1.00541,651987968,466.276001,1422080000
1.85313,9056850,9330.549805,5475579904,1.00868,636451968,471.329987,1197779968
1.94298,22826600,9818.349609,5653320192,1.00129,784436992,480.355011,1396480000
1.91711,36377700,10058.799805,6348819968,1.00014,794764032,472.902008,1346499968
1.75153,43765500,9888.610352,11568799744,0.990606,1672120064,427.52301,2675940096
1.99697,31559500,10233.599609,8310689792,1.0081,1043969984,447.114014,1903040000
2.07023,28867200,10975.599609,6783119872,1.00978,749395968,466.540009,1247879936
2.08416,24332700,11074.599609,5138500096,0.999654,679950016,463.449005,943649984
2.22725,35163500,11323.200195,6608309760,1.00066,946748992,465.852997,990556992
2.49168,41226200,11657.200195,6132409856,1.00367,668510016,470.20401,1005550016
2.5953,49190000,11916.700195,6895260160,1.00197,814145984,463.281006,1216720000
2.58769,41731500,14291.5,12656300032,1.00991,1281490048,428.588013,1998259968
2.77995,28297900,17899.699219,17950699520,1.03166,1671609984,434.40799,2129570048
2.83067,38648500,16569.400391,21135998976,1.0176,1993030016,456.031006,2336379904
2.61043,27217000,15178.200195,13911300096,1.01713,1598909952,473.502014,2003849984
2.48337,19258500,15455.400391,13433299968,1.01775,1649500032,441.721008,1404179968
2.70665,19427000,16936.800781,12153900032,1.01856,1542119936,515.135986,1771440000
2.68475,24523200,17415.400391,14603799552,1.07788,2240839936,651.43103,5179829760
2.7781,28429500,16408.199219,12976900096,1.02716,2198139904,702.767029,4524539904
3.15874,40335300,16564.0,13777399808,1.00819,2336179968,695.815979,3821580032
3.99615,52745900,17706.900391,14309999616,1.0161,2044499968,684.447998,2758710016
4.66465,54002400,19497.400391,12740599808,1.00742,1592729984,696.208984,2165690112
5.75672,98159600,19140.800781,13314599936,1.00924,1931020032,719.974976,2147389952
5.61585,66623700,19114.199219,14839499776,1.01302,2517230080,794.64502,3249230080
5.79233,66695200,17776.699219,16894499840,1.01068,3073860096,826.822998,4096549888
5.17621,47866900,16624.599609,22149699584,1.00018,3751790080,819.085999,3969939968
5.18001,46905500,15802.900391,16516599808,1.00921,3106720000,821.062988,3569060096
4.33615,36672600,13831.799805,22197999616,1.01795,4687949824,674.859985,4977710080
4.83926,32930300,14699.200195,13086000128,1.04526,2353740032,719.387024,2480339968
5.28568,43676900,13925.799805,11572299776,1.02303,2611589888,694.14801,2300549888
6.56001,66374400,14026.599609,10664699904,1.01113,1708380032,765.833984,2491760128
9.02942,167812992,16099.799805,13454300160,1.00407,1854780032,773.835999,2201159936
10.107,167808000,15838.5,12487600128,1.00366,1939949952,762.84198,2100029952
9.32141,109298000,14606.5,12336499712,1.00659,2211409920,737.02301,2389149952
8.8076,70849400,14656.200195,13025500160,1.00564,1929090048,753.59198,2648969984
7.84101,72933904,12952.200195,14452599808,1.02135,2711059968,717.257019,3187780096
8.63558,74927904,14156.400391,12136299520,1.01226,1927010048,756.732971,2554269952
8.41461,66422800,13657.200195,10291200000,1.00728,1685299968,772.640991,2595760128
8.83777,104789000,14982.099609,16846600192,1.0049,2635859968,884.44397,5783349760
9.53588,108852000,15201.0,16871900160,1.01344,2471689984,962.719971,5093159936
9.21399,158819008,15599.200195,21783199744,1.00253,3200130048,980.921997,6502859776
14.9172,341504992,17429.5,23840899072,0.998634,3096620032,997.719971,6683149824
22.7598,637020992,17527.0,18314600448,1.00899,2620080128,1041.680054,4662219776
18.656799,258050000,16477.599609,15866000384,1.00157,2338180096,1153.170044,5569880064
18.2609,296617984,15170.099609,18413899776,1.00932,3815749888,1148.530029,8450970112
17.4118,194750000,14595.400391,16659999744,1.00599,2766180096,1299.73999,7965459968
17.3908,146582000,14973.299805,18500800512,1.00128,3189860096,1255.819946,9214950400
21.0427,389228000,13405.799805,16534099968,1.00171,3841110016,1154.930054,7235899904
22.316299,387537984,13980.599609,12065699840,1.00608,2668219904,1273.199951,5222300160
22.1744,181676000,14360.200195,12763599872,1.00202,2759879936,1396.420044,5746760192
20.7773,129239000,13772.0,11084099584,1.01612,2960410112,1366.77002,4841630208
19.564699,244154000,13819.799805,12750799872,1.00662,2557179904,1291.920044,4781100032
13.8919,399951008,11490.5,18853799936,1.03415,5552929792,1053.689941,8405139968
14.2032,299411008,11188.599609,18830600192,1.01453,5588839936,1014.25,8545160192
14.2804,204899008,11474.900391,15020399616,1.02311,4302300160,1036.280029,5938319872
14.9406,139882000,11607.400391,10740400128,1.00454,2876989952,1039.099976,4084450048
16.1903,156744992,12899.200195,11801700352,1.00111,2942779904,1155.150024,3975190016
14.0683,141562000,11600.099609,9935179776,0.999861,3302010112,1049.579956,3378089984
13.0146,138026000,10931.400391,10537400320,1.00504,3274899968,1003.26001,3810099968
13.0935,91706200,10868.400391,9660609536,1.00505,3126830080,986.229004,3556699904
13.6287,105736000,11359.400391,9940989952,0.997484,2620630016,1058.780029,3944039936
13.2284,105648000,11259.400391,8873169920,0.999595,2571930112,1056.030029,4050190080
13.2182,113429000,11171.400391,9746199552,1.00414,2957009920,1055.170044,3617690112
13.253,84009400,11440.700195,7583269888,0.993325,2051980032,1107.069946,3002870016
13.5402,93871104,11786.299805,8350360064,0.98879,2546639872,1246.01001,5372329984
12.7645,71294304,11296.400391,7107359744,0.995319,2031160064,1182.359985,3715079936
11.2507,59389600,10106.299805,8637859840,0.986486,3108630016,1071.130005,4107859968
11.145,50435000,10221.099609,8041160192,0.990274,2663930112,1118.310059,3757560064
9.51584,82984200,9170.540039,9959400448,0.986939,3498899968,1036.790039,5261680128
9.65229,91468200,8830.75,12726899712,0.990747,4785869824,915.784973,6713290240
9.74968,56556200,9174.910156,7263790080,1.00131,2488529920,964.018982,3243480064
